,seas_id,experience,g,ts_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,dws,ws_48,obpm,dbpm,vorp,x3p,x3p_percent,x2p_percent,ft,ft_percent,trb,ast,stl,blk,tov,pf,pts,attend,tm_win_percent,seas_avg_attend,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PG
0,30458,1,35,0.607,0.84,0.032,1.9,6.8,8.7,0.8,0.0,6.6,16.6,0.3,0.111,-0.3,-0.6,0.1,44.0,0.419,0.45,4,1.0,45.0,22,6.0,0.0,9.0,31,154,718786.0,0.7073170731707317,739389.365131579,0,0,0,0,0,1,0
1,30459,1,15,0.589,0.568,0.182,6.4,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.063,-1.5,-2.9,-0.1,10.0,0.4,0.632,2,0.25,21.0,2,2.0,0.0,3.0,11,56,739389.365132,0.5,739389.365131579,0,0,0,0,0,1,0
2,30460,1,1,1.0,0.0,0.0,0.0,27.9,0.0,0.0,0.0,0.0,21.4,0.0,0.377,-2.3,7.5,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,0.0,1,2,687510.0,0.5121951219512195,739389.365131579,0,0,0,0,0,1,0
3,30461,1,14,0.58,0.581,0.186,6.5,11.0,3.0,0.9,0.0,6.1,21.1,0.1,0.057,-1.5,-3.1,-0.1,10.0,0.4,0.611,2,0.25,20.0,2,2.0,0.0,3.0,10,54,827282.0,0.4634146341463415,739389.365131579,0,0,0,0,0,1,0
4,30462,9,68,0.617,0.227,0.413,9.4,12.5,14.2,1.3,2.2,9.8,21.1,2.2,0.158,2.4,-0.3,2.1,60.0,0.347,0.628,191,0.608,446.0,203,54.0,51.0,98.0,129,1109,788635.0,0.6463414634146342,739389.365131579,1,0,0,0,0,0,0
5,30463,5,63,0.528,0.4,0.145,3.2,4.8,13.0,2.1,1.2,13.3,13.4,0.6,0.053,-2.9,0.9,0.0,36.0,0.409,0.424,27,0.844,74.0,89,37.0,12.0,36.0,79,247,719787.0,0.5,739389.365131579,0,0,1,0,0,0,0
6,30464,3,73,0.566,0.532,0.241,3.8,8.5,7.4,1.4,1.6,10.3,16.8,1.1,0.052,-2.3,-0.7,-0.4,115.0,0.366,0.496,119,0.838,277.0,98,55.0,34.0,75.0,235,738,641562.0,0.4268292682926829,739389.365131579,0,0,0,1,0,0,0
7,30465,2,70,0.607,0.336,0.196,5.5,8.7,8.3,1.4,1.1,12.2,14.5,1.2,0.097,-1.5,-0.5,0.0,48.0,0.393,0.573,59,0.831,210.0,80,39.0,15.0,55.0,110,479,636903.0,0.4878048780487805,739389.365131579,0,0,0,0,0,1,0
8,30466,3,37,0.587,0.607,0.189,5.8,7.8,9.6,0.9,1.1,10.8,14.1,0.3,0.089,-2.2,-0.7,-0.1,24.0,0.324,0.646,21,0.913,62.0,31,8.0,5.0,16.0,61,155,728405.0,0.4146341463414634,739389.365131579,1,0,0,0,0,0,0
9,30467,1,72,0.577,0.486,0.088,2.9,6.0,7.0,1.4,0.7,7.1,17.9,0.9,0.075,-0.3,-0.5,0.4,101.0,0.39,0.536,42,0.894,153.0,73,42.0,12.0,42.0,87,639,719787.0,0.5,739389.365131579,0,0,0,1,0,0,0
10,30468,16,63,0.631,0.678,0.044,4.2,11.1,13.2,0.8,2.7,7.0,11.9,2.7,0.157,1.6,1.7,2.5,145.0,0.446,0.539,15,0.714,390.0,189,30.0,61.0,37.0,121,616,766240.0,0.6951219512195121,739389.365131579,0,0,0,0,0,0,0
11,30469,12,51,0.602,0.521,0.41,1.8,7.8,15.9,1.6,0.6,9.7,22.8,0.6,0.109,1.8,-0.5,0.9,99.0,0.414,0.459,153,0.814,158.0,114,38.0,8.0,58.0,98,652,759715.0,0.2073170731707317,739389.365131579,0,0,0,0,0,1,0
12,30470,3,34,0.522,0.418,0.141,6.8,12.2,12.4,1.4,5.7,14.0,18.3,1.0,0.066,-1.0,1.0,0.3,38.0,0.365,0.483,22,0.629,159.0,64,20.0,43.0,43.0,58,276,636903.0,0.4878048780487805,739389.365131579,1,0,0,0,0,0,0
13,30471,6,67,0.588,0.528,0.255,3.1,7.1,15.4,3.0,2.8,19.5,11.1,2.6,0.109,-2.2,3.3,1.2,55.0,0.364,0.556,59,0.808,196.0,193,98.0,46.0,77.0,159,374,841632.0,0.4878048780487805,739389.365131579,0,0,1,0,0,0,0
